last_name,first_name,year,xba,xslg,xwoba,xobp,xiso,wobacon,xwobacon,bacon,xbacon,xbadiff,xslgdiff,wobadif,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrels,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,iz_contact_percent,in_zone_swing_miss,whiff_percent,swing_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,pop_2b_sba_count,pop_2b_sba,pop_2b_sb,pop_2b_cs,pop_3b_sba_count,pop_3b_sba,pop_3b_sb,pop_3b_cs,exchange_2b_3b_sba,maxeff_arm_2b_3b_sba,n_outs_above_average,rel_league_reaction_distance,rel_league_burst_distance,rel_league_routing_distance,rel_league_bootup_distance,f_bootup_distance,n_bolts,hp_to_1b,sprint_speed,name,WAR
Revere,Ben,2016,0.246,0.315,0.269,0.288,0.063,0.243,0.27,0.239,0.272,-0.029,-0.015,-0.023,82.3,4.4,30.3,2,0.6,2.5,20.9,22.5,46.3,7.2,15.9,53,5,24.3,19,81,31,163,49.9,671,54.5,7.5,95,18,9.4,38.7,57.2,14.4,25.6,2.8,,,,,,,,,,,3,-0.9,-0.8,-0.3,-2,31.2,9,,27.3,Ben Revere,0
Vogt,Stephen,2016,0.261,0.414,0.315,0.314,0.152,0.332,0.346,0.3,0.312,-0.01,-0.008,-0.01,85.8,19.2,41,21,5.1,5.1,24.9,38.5,22.7,3.7,26.6,59.7,10.6,30.8,30.2,69.8,99,328,50.1,1064,60.4,7.3,89.4,67,17.3,45.2,30.7,31,28,10.2,29,2.1,2.09,2.11,2,1.66,1.66,,0.71,76.1,,,,,,,0,,26,Stephen Vogt,0
Miller,Brad,2016,0.248,0.44,0.324,0.31,0.191,0.412,0.399,0.331,0.34,-0.005,0.042,0.009,90.3,11.7,29.6,39,9.7,6.7,21.9,22.4,35.8,3.5,42.3,70.2,21,29.1,40.5,59.5,141,348,51.4,1195,81.5,6.5,79,166,26.9,49.1,45.8,23.6,21.6,9,,,,,,,,,,,,,,,,,1,,27.8,Brad Miller,0
Escobar,Alcides,2016,0.251,0.326,0.27,0.283,0.072,0.305,0.295,0.304,0.293,0.01,0.024,0.008,82.9,8.3,32,8,1.4,2.9,24.8,23.6,41.4,5.9,17.4,68.4,15.3,37.7,30.9,69.1,146,473,50.9,1253,74.6,7.2,84.7,126,21,52.7,51.6,20,22.3,6.1,,,,,,,,,,,,,,,,,3,,27.5,Alcides Escobar,0.1
Tulowitzki,Troy,2016,0.266,0.492,0.355,0.331,0.224,0.366,0.405,0.316,0.335,-0.012,-0.049,-0.028,90,13.9,33.7,38,9.6,7.3,24.1,25.8,32.7,0.5,40.5,61.4,16.9,26.6,30.5,69.5,83,272,48.6,1021,72.8,8,83.1,112,20.9,44.5,41,26.1,24.1,8.9,,,,,,,,,,,,,,,,,0,,25.5,Troy Tulowitzki,0.1
Pearce,Steve,2016,0.277,0.496,0.371,0.365,0.215,0.412,0.413,0.36,0.347,0.011,-0.004,0,89.8,15.8,29.9,19,9,4.3,26.1,26.1,30.8,3.8,40.3,64.7,14.2,23.9,54.4,45.6,74,136,48.3,569,76.4,7.6,85.8,56,24.5,45,43.6,26.5,20.4,9.5,,,,,,,,,,,,,,,,,0,,26.6,Steve Pearce,0.1
Anderson,Tim,2016,0.262,0.395,0.295,0.286,0.129,0.423,0.394,0.395,0.366,0.021,0.037,0.02,86.8,5.4,30.7,17,5.7,3,27.7,15,42.7,6,34.7,67.3,21,33.1,50.6,49.4,133,263,49.8,795,72.3,7,79,113,30.7,50.3,55.7,14.3,25.7,4.3,,,,,,,,,,,,,,,,,27,,28.8,Tim Anderson,0.1
Descalso,Daniel,2016,0.269,0.384,0.328,0.356,0.112,0.368,0.362,0.333,0.343,-0.005,0.04,0.004,87.4,10,40.4,6,3,8.1,27.3,22.2,35.4,4,34.8,63.4,14.6,18.6,46.9,53.1,53,113,52.4,607,75.9,6.8,85.4,51,22.5,39.9,44.9,18.2,32.8,4,,,,,,,,,,,,,,,,,0,,26.9,Daniel Descalso,0.2
Rickard,Joey,2016,0.242,0.344,0.286,0.296,0.1,0.346,0.321,0.337,0.306,0.026,0.033,0.018,84.3,10.8,33.7,5,2.4,4.3,26.9,27.9,31.7,6.7,22.1,54.4,10,26.1,25.2,74.8,38,151,47.3,578,64.3,8,90,35,14.6,41,44.2,27.4,22.6,5.8,,,,,,,,,,,3,2.1,0.5,0,2.5,36.3,0,,28.2,Joey Rickard,0.2
Jaso,John,2016,0.264,0.398,0.336,0.35,0.129,0.358,0.359,0.332,0.328,0.004,0.015,-0.001,86.2,7.1,34.1,15,4.9,4.9,28.9,17.5,40.6,3.2,32.1,65.1,11.4,16.8,39.3,60.7,57,145,50.8,861,79.4,8,88.6,62,17.3,40.6,53.6,17.2,25,4.2,,,,,,,,,,,,,,,,,0,,25.5,John Jaso,0.3
Cervelli,Francisco,2016,0.247,0.344,0.329,0.366,0.092,0.318,0.335,0.332,0.316,0.017,-0.022,-0.011,86.4,5.9,29,4,1.5,6.2,27.4,17.4,42.9,4.6,30.9,60,16.6,15.7,43.2,56.8,54,125,49.8,796,76.7,7.5,83.4,80,22.1,37.9,57.1,17.4,22.8,2.7,34,2.02,2.01,2.05,7,1.61,1.6,1.63,0.73,80.1,,,,,,,0,,25.8,Francisco Cervelli,0.3
Ramos,Wilson,2016,0.286,0.493,0.358,0.337,0.201,0.403,0.399,0.364,0.342,0.021,0.003,0.003,90.7,4.8,33.4,31,7.6,9.3,22.1,14.3,43,3.7,43.2,71.1,12.7,28.2,35.5,64.5,92,259,49.1,918,81.4,9.2,87.3,86,19.1,50,54.5,15,26.8,3.7,21,2.04,2.03,2.05,4,1.56,1.54,1.61,0.76,82.2,,,,,,,0,,24.1,Wilson Ramos,0.3
Bourjos,Peter,2016,0.232,0.322,0.263,0.275,0.086,0.362,0.322,0.336,0.311,0.019,0.067,0.028,85.9,6,26.6,7,2.6,4.1,22.5,21.4,42.8,6.6,32.8,71.8,20.2,35.2,46.2,53.8,110,238,50.8,676,86.9,8,79.8,95,28.9,53.2,53.1,15.5,23.6,7.7,,,,,,,,,,,12,0.2,1.3,0,1.5,34.8,45,,29.5,Peter Bourjos,0.3
Cron,C.J.,2016,0.274,0.458,0.342,0.325,0.182,0.379,0.386,0.335,0.336,0.004,0.009,-0.005,89.3,12.7,34.1,27,8,8.3,23.4,25.2,31.5,3.6,38.9,69.3,15.7,35.4,37.5,62.5,111,296,50.5,835,70.5,6.8,84.3,89,23.2,52.2,41.8,23.4,27,7.7,,,,,,,,,,,,,,,,,0,,26.1,C.J. Cron,0.3
Owings,Chris,2016,0.277,0.387,0.307,0.317,0.106,0.364,0.36,0.344,0.347,0,0.029,0.004,87.1,7.6,29.4,10,2.8,6.2,28.2,18.4,40.7,3.7,32.5,68.6,12.9,33.3,40.2,59.8,107,266,49.3,800,76.5,8.4,87.1,73,21.7,51.2,51.4,18.6,26.3,3.7,,,,,,,,,,,-1,0.8,0.9,-0.8,0.9,34.4,5,,28.9,Chris Owings,0.3
Healy,Ryon,2016,0.285,0.499,0.35,0.318,0.212,0.45,0.431,0.392,0.367,0.02,0.025,0.014,88.4,13.3,35.7,19,9,4.3,28.1,26.2,30.5,1.9,39.5,55.3,13.5,33.6,35.9,64.1,65,181,50,538,63.9,9,86.5,40,22,44.5,41,22.9,28.6,7.6,,,,,,,,,,,,,,,,,0,,26.4,Ryon Healy,0.3
Diaz,Aledmys,2016,0.285,0.438,0.345,0.359,0.151,0.394,0.362,0.346,0.333,0.015,0.072,0.025,88.7,11.7,30.1,16,4.5,5.4,21,28.1,36.6,4.3,38.9,66.1,10.3,24.9,35.8,64.2,81,226,52.1,909,74.2,6.9,89.7,57,17.7,44.6,46.9,24.4,20.7,8,,,,,,,,,,,,,,,,,19,,29.1,Aledmys Diaz,0.3
Zobrist,Ben,2016,0.281,0.421,0.362,0.395,0.137,0.356,0.359,0.319,0.332,-0.009,0.025,-0.002,88.2,8.6,32.7,20,4.5,4.5,27.6,20.9,39,3.6,35.2,54.6,7.7,18.8,25.8,74.2,70,271,54.3,1441,67.4,6.5,92.3,51,13,35.2,49,19.2,26.5,5.3,,,,,,,,,,,-1,1.3,-0.9,-0.7,-0.3,32.2,0,,27.3,Ben Zobrist,0.4
Szczur,Matt,2016,0.269,0.392,0.307,0.32,0.12,0.355,0.358,0.329,0.34,-0.01,0.008,-0.002,84.3,12.8,28.6,7,4.8,4.1,25.2,25.9,34,6.1,23.8,73.9,17.1,28.4,42.7,57.3,44,103,47.9,363,75.9,7.7,82.9,50,23.8,52,44.2,23.1,21.8,10.9,,,,,,,,,,,3,1.6,1.8,-0.1,3.3,36.5,0,,28.3,Matt Szczur,0.4
Piscotty,Stephen,2016,0.27,0.468,0.351,0.341,0.195,0.398,0.407,0.353,0.349,0.003,-0.011,-0.006,88.1,13.4,33.6,39,8.6,6.9,24.3,23.9,32.1,4.2,37.6,72.3,18.8,33,40.6,59.4,169,416,50.7,1259,79.3,7.2,81.2,166,25.8,52.4,44.5,23.7,23.9,8,,,,,,,,,,,4,-1.1,0.2,0.9,0,33.1,0,,27.2,Stephen Piscotty,0.4
Choo,Shin-Soo,2016,0.273,0.495,0.382,0.384,0.219,0.366,0.44,0.326,0.369,-0.031,-0.096,-0.048,91.2,10,38.6,10,7.6,8.3,27.3,21.2,31.8,3.8,47,54.2,16.2,22.8,38.1,61.9,37,97,50.2,425,68.9,7.2,83.8,37,22.8,38.3,46.2,22.7,29.5,1.5,,,,,,,,,,,-1,1.3,0.1,0,1.4,35.1,0,,25.5,Shin-Soo Choo,0.5
Smith,Seth,2016,0.268,0.483,0.366,0.361,0.211,0.362,0.415,0.321,0.348,-0.019,-0.068,-0.035,89.4,8.3,33.1,26,8.9,5.5,27.3,17.7,37.2,3.4,41.3,60,13.7,21.7,43.3,56.7,93,215,53.4,991,64.2,6.5,86.3,71,22.3,39.6,49.8,19.1,25.9,5.1,,,,,,,,,,,-5,0.2,-0.8,0.7,0.1,33.7,0,,26.2,Seth Smith,0.5
Leon,Sandy,2016,0.249,0.377,0.309,0.318,0.124,0.447,0.369,0.415,0.34,0.061,0.099,0.053,85.5,9.7,39.1,8,4.2,5.7,25.5,22.4,37,5.2,26.7,56.8,12.1,31.6,31,69,63,203,53.7,642,70.6,5.7,87.9,38,19.5,43.3,46.4,18.2,29.2,6.3,15,1.95,1.91,1.98,4,1.5,1.45,1.56,0.7,81.7,,,,,,,0,,25,Sandy Leon,0.5
Kipnis,Jason,2016,0.272,0.452,0.348,0.342,0.177,0.406,0.407,0.357,0.356,0.003,0.017,-0.001,89.1,13.9,38.4,32,6.7,7.8,28.2,24.8,28.4,4.2,39.5,60.6,11.7,25.6,38.6,61.4,137,355,50.3,1388,63,7.7,88.3,97,19.7,43,41,21,32.1,5.9,,,,,,,,,,,,,,,,,0,,27.3,Jason Kipnis,0.5
Blanco,Gregor,2016,0.23,0.314,0.28,0.315,0.08,0.288,0.299,0.283,0.292,-0.006,-0.003,-0.008,83.9,11.1,29.7,5,2.6,2.1,25.5,28.6,35.9,5.2,19.8,63.9,11.9,22.5,35.4,64.6,45,127,52.5,565,75.4,6.4,88.1,39,18.5,42.2,47.9,20.3,24,7.8,,,,,,,,,,,-2,0.1,-0.5,-0.5,-0.9,32.3,2,,28.2,Gregor Blanco,0.6
Markakis,Nick,2016,0.279,0.42,0.343,0.36,0.137,0.335,0.366,0.318,0.336,-0.01,-0.023,-0.022,90.6,10.9,37.7,25,4.9,5.7,29.2,24.3,34.3,1.6,42.8,61.1,9.4,21.4,21.8,78.2,64,293,52.2,1370,71,7,90.6,72,12.8,40.4,44,20.1,31,4.9,,,,,,,,,,,-4,-0.6,-1.9,0,-2.5,30.4,0,,25.5,Nick Markakis,0.6
Perez,Hernan,2016,0.244,0.361,0.278,0.276,0.115,0.382,0.336,0.35,0.315,0.028,0.067,0.034,88.2,11.7,34.1,11,3.5,5,25.9,28.7,34.1,2.8,37.9,66.8,16.7,40.2,42.1,57.9,127,302,49.1,751,75.7,7.5,83.3,87,26,53.8,45.4,23.3,25.6,5.7,,,,,,,,,,,1,0.6,0.9,0.1,1.6,35.6,3,,28.4,Hernan Perez,0.6
Grossman,Robbie,2016,0.256,0.381,0.336,0.365,0.124,0.431,0.387,0.394,0.36,0.024,0.062,0.027,86.2,13.7,35.2,12,5.1,4.2,32.6,27.1,28.8,2.1,28.4,57.7,17.4,18.5,45.5,54.5,70,154,51.5,833,76.4,7.8,82.6,79,24.5,37.5,38.1,26.3,29.2,6.4,,,,,,,,,,,-13,-0.2,-0.3,-0.6,-1.1,31.2,0,,27.8,Robbie Grossman,0.6
Polanco,Gregory,2016,0.279,0.449,0.343,0.345,0.168,0.385,0.402,0.329,0.36,-0.021,0.014,-0.012,89.6,13.5,35.7,26,6.3,6.7,28.7,26.7,29.2,2.4,39.5,68.3,12.9,29.8,36,64,150,417,58.4,1401,74.6,4.9,87.1,88,21.6,45.8,39.5,20.2,31.1,9.2,,,,,,,,,,,5,-0.1,0.1,0,0,32.9,5,,27.3,Gregory Polanco,0.6
Pederson,Joc,2016,0.24,0.457,0.348,0.348,0.215,0.452,0.433,0.36,0.353,0.006,0.038,0.012,91,13.8,30.8,35,12.5,5.7,22.2,24.7,30.1,4.7,47,60.9,18.2,25.4,43.1,56.9,122,283,55.8,1116,67.4,6.8,81.8,98,26.8,41.1,42.3,21.5,25.8,10.4,,,,,,,,,,,2,-0.5,-0.8,-0.7,-2,31.9,0,,26.5,Joc Pederson,0.6
Carrera,Ezequiel,2016,0.237,0.333,0.292,0.314,0.093,0.345,0.332,0.332,0.317,0.011,0.023,0.009,81.8,0.6,24.9,8,3.8,2.4,22.5,17.2,38.8,15.3,31.1,60.2,17.8,25.5,33.7,66.3,55,163,51.3,639,62.9,7.8,82.2,65,22.7,42.4,61.7,13.9,16.7,7.7,,,,,,,,,,,0,-0.4,0,0.5,0.1,33.2,1,,28.2,Ezequiel Carrera,0.7
Escobar,Yunel,2016,0.282,0.385,0.323,0.336,0.098,0.34,0.335,0.346,0.321,0.022,0.006,0.004,88.8,1.3,28.7,13,2.8,3.3,28.2,14.7,48.4,2.6,35.9,69.8,7.9,27.1,39.5,60.5,104,263,49.7,972,84.6,7.6,92.1,54,16.6,48.6,59.1,13.6,24.7,2.6,,,,,,,,,,,,,,,,,0,,25.6,Yunel Escobar,0.7
Broxton,Keon,2016,0.231,0.392,0.329,0.345,0.159,0.491,0.463,0.42,0.403,0.011,0.038,0.014,91.7,8.3,33.3,11,9.2,8.3,24.2,19.2,35,4.2,49.2,64.6,27.4,21.9,63.9,36.1,78,122,52.3,558,76.2,7.9,72.6,90,37.3,42.3,46.7,23.3,27.5,2.5,,,,,,,,,,,8,1.3,1.7,-0.3,2.7,36.1,30,,29.8,Keon Broxton,0.7
McCann,James,2016,0.225,0.414,0.3,0.277,0.187,0.354,0.395,0.319,0.327,-0.004,-0.056,-0.027,87.6,15.4,29.7,23,9.6,5,23.8,27.6,29.7,4.2,36.8,60.6,19.3,30.6,47.7,52.3,102,214,48.1,700,65.4,9.1,80.7,88,28.3,46.1,41.4,31,22.2,5.4,43,2.01,2.01,2,2,1.51,1.51,,0.73,83.5,,,,,,,0,,26.7,James McCann,0.7
Marte,Ketel,2016,0.255,0.305,0.266,0.287,0.046,0.305,0.304,0.315,0.314,0.004,0.018,0,83.6,5.2,29,1,0.3,3,24.3,18.8,45.9,7.7,19.9,63.1,12.9,32.1,30.9,69.1,86,278,49,865,65.9,7.5,87.1,73,18.8,47.9,54.4,14.1,24.3,7.2,,,,,,,,,,,,,,,,,7,,28.4,Ketel Marte,0.7
Pence,Hunter,2016,0.273,0.438,0.347,0.347,0.161,0.409,0.407,0.376,0.361,0.016,0.013,0.001,90.8,5.3,27.4,22,7.3,5.9,23.4,17.8,41.9,3.6,40.6,64.6,21.2,29.9,49.5,50.5,146,295,54.6,986,77.7,7.2,78.8,112,31.3,45.7,55.8,16.2,22.4,5.6,,,,,,,,,,,-5,-0.4,-0.6,0.2,-0.8,32.3,1,,28.5,Hunter Pence,0.8
Parra,Gerardo,2016,0.264,0.403,0.297,0.282,0.137,0.342,0.358,0.313,0.328,-0.011,-0.004,-0.013,86.5,4.3,33.2,15,5,4.7,23.8,16.8,45,4.4,31.9,72.3,12.1,37.5,38.4,61.6,96,250,51,667,81.3,8.2,87.9,56,21.3,54.5,56,14.1,27.2,2.7,,,,,,,,,,,-1,1.5,-1.2,-1.4,-1.1,31.7,0,,26.4,Gerardo Parra,0.8
Solarte,Yangervis,2016,0.253,0.387,0.307,0.311,0.131,0.374,0.324,0.336,0.298,0.033,0.08,0.038,88.1,12.5,28.4,13,3.8,4.3,28.1,29.3,32.5,2,33.3,68.7,10,34.3,29.3,70.7,85,290,53.2,845,71.7,6.2,90,51,17,50.4,42.9,23.2,24.9,9,,,,,,,,,,,,,,,,,0,,25,Yangervis Solarte,0.8
Reynolds,Mark,2016,0.231,0.39,0.307,0.31,0.157,0.431,0.368,0.392,0.321,0.051,0.06,0.041,87.9,12.2,33.6,17,6,6.4,24.7,24.7,34.3,3.9,37.1,67.3,19.1,25.7,45.8,54.2,110,240,51.1,935,76.1,7.8,80.9,115,26.7,46,42.8,19.8,29.3,8.1,,,,,,,,,,,,,,,,,0,,25,Mark Reynolds,0.9
Valbuena,Luis,2016,0.237,0.419,0.332,0.338,0.181,0.415,0.385,0.357,0.327,0.023,0.04,0.019,85.7,14.1,32.9,17,7.9,6,22.7,29.6,26.9,6.9,30.1,68,18.4,21.3,44.4,55.6,76,171,53.8,801,86.5,7,81.6,86,25.4,42.9,39.4,28.2,24.1,8.3,,,,,,,,,,,,,,,,,0,,25.7,Luis Valbuena,0.9
Moreland,Mitch,2016,0.252,0.472,0.337,0.316,0.217,0.37,0.414,0.313,0.339,-0.019,-0.05,-0.03,90.5,14.7,33.6,33,9.6,6.1,26.9,25.4,29.8,2,39.5,69.9,18.4,32.4,45.2,54.8,164,363,56.9,1120,74,6.4,81.6,109,28.5,48.6,43,21.9,24.6,10.5,,,,,,,,,,,,,,,,,0,,25.6,Mitch Moreland,0.9
Flores,Wilmer,2016,0.252,0.407,0.312,0.306,0.153,0.364,0.333,0.313,0.296,0.015,0.062,0.024,86.4,18.8,37.8,13,5,4.2,24.4,34.7,27.9,3.8,28.2,69.7,14.2,28.5,23.6,76.4,46,195,51,684,77.6,8.7,85.8,65,17,48.7,34,25.2,29.8,11.1,,,,,,,,,,,,,,,,,1,,25.5,Wilmer Flores,0.9
Myers,Wil,2016,0.257,0.433,0.337,0.337,0.174,0.408,0.402,0.349,0.351,0.002,0.028,0.004,88.6,10.2,36.9,31,7,6.8,23,22.5,36.9,3.8,39,57.6,17.6,24.9,30.9,69.1,115,372,51.8,1493,69.6,7.2,82.4,141,21.8,40.7,45.3,18.7,30.4,5.6,,,,,,,,,,,,,,,,,3,,28,Wil Myers,0.9
Garcia,Greg,2016,0.266,0.362,0.337,0.387,0.094,0.359,0.357,0.358,0.348,0.01,0.007,0.001,84.4,5.5,36.4,5,3,5.5,26.1,17.6,43,4.8,23,62.1,7.6,17.6,41.8,58.2,41,98,53.4,556,71.6,7.8,92.4,23,16,38.4,50.3,18.2,29.7,1.8,,,,,,,,,,,,,,,,,0,,27.7,Greg Garcia,0.9
Smith,Mallex,2016,0.219,0.308,0.276,0.299,0.084,0.34,0.305,0.317,0.291,0.019,0.057,0.024,79.5,-3.8,22.1,4,2.8,4.1,15.2,15.2,45.5,17.2,21.4,62.8,18,26.4,53.3,46.7,56,105,50.4,397,75.9,6.9,82,44,28.6,44.5,66.2,15.2,15.9,2.8,,,,,,,,,,,4,-0.2,1.4,0,1.2,34.2,38,,29.5,Mallex Smith,0.9
Lind,Adam,2016,0.256,0.47,0.33,0.303,0.21,0.361,0.396,0.306,0.328,-0.017,-0.039,-0.026,91.2,10.9,33.8,27,8.6,9.9,22.3,22,36.3,1,42.7,63,13.5,33.8,38.3,61.7,110,287,52.7,849,66.3,6.3,86.5,65,22.8,47.6,43.9,20.1,28,8,,,,,,,,,,,,,,,,,0,,24.6,Adam Lind,1
Barnhart,Tucker,2016,0.257,0.367,0.304,0.325,0.104,0.332,0.337,0.315,0.317,0,0.012,-0.004,85.2,8.8,39,7,2.3,6.1,30.3,20,36.1,5.2,22.9,71.9,14.9,24.8,35.8,64.2,72,201,53.6,809,83.3,6.8,85.1,75,20.9,46.7,50,16.1,31.6,2.3,49,2.01,2.01,2.01,6,1.59,1.6,1.58,0.69,79.7,,,,,,,0,,25.1,Tucker Barnhart,1
Utley,Chase,2016,0.256,0.384,0.313,0.323,0.127,0.354,0.355,0.324,0.33,-0.004,0.012,-0.001,87.2,11.7,35.8,17,4.3,6,32.3,23.6,30.1,3.8,33.6,58.3,11.4,21.4,39.6,60.4,93,235,49.4,1098,72.3,7.8,88.6,75,18.9,40.1,45.4,21.3,27.1,6.3,,,,,,,,,,,,,,,,,3,,27.4,Chase Utley,1.1
Heyward,Jason,2016,0.263,0.357,0.311,0.335,0.092,0.286,0.325,0.278,0.317,-0.033,-0.032,-0.029,86.7,10.6,29.1,12,2.7,3.2,27.7,24.1,39.1,3.2,30.7,59.6,11.8,23.7,29.8,70.2,82,275,50.9,1162,62.7,7.1,88.2,79,17.1,41.3,46.4,16.1,26.6,10.9,,,,,,,,,,,16,1.1,2.1,-0.3,2.9,35.7,0,,27.7,Jason Heyward,1.1
Drury,Brandon,2016,0.266,0.417,0.319,0.316,0.148,0.395,0.373,0.356,0.339,0.016,0.041,0.016,88.8,9.1,32.1,25,6.8,4.4,25.5,21.4,39.7,2.2,36.4,59.1,12.6,30.9,42.2,57.8,129,306,50.9,991,67.5,6,87.4,71,23,44.7,51.5,15.1,26,7.4,,,,,,,,,,,-7,1.8,-1.4,-1.6,-1.2,32.5,1,,27.3,Brandon Drury,1.1
Schebler,Scott,2016,0.263,0.398,0.317,0.328,0.133,0.382,0.368,0.343,0.341,0.002,0.034,0.011,89.2,6.5,27.8,10,5.1,6.1,25.3,17.7,42.4,3.5,37.9,74.4,20.2,32.3,49.5,50.5,91,184,54.7,569,82.7,7.2,79.8,71,30.3,51.4,53.5,14.6,24.7,7.1,,,,,,,,,,,-2,0.3,1.2,-0.3,1.1,33.7,0,,28.2,Scott Schebler,1.1
Rivera,Rene,2016,0.228,0.354,0.286,0.297,0.123,0.333,0.352,0.308,0.318,-0.006,-0.013,-0.013,85.7,10.4,32.8,6,4.5,3.7,27.6,24.6,35.1,4.5,29.1,68.6,17.8,35.4,48.5,51.5,65,134,50.1,378,84.5,7.7,82.2,46,28.3,52,48.5,16.4,26.1,9,27,1.99,1.96,2.03,7,1.56,1.59,1.5,0.69,81.4,,,,,,,0,,24.7,Rene Rivera,1.2
Span,Denard,2016,0.288,0.391,0.329,0.352,0.099,0.319,0.342,0.307,0.334,-0.022,-0.01,-0.018,84.7,5.4,30.1,14,2.8,3.2,27.7,17.2,41.7,7.4,29.5,64.1,8.3,24.3,28.7,71.3,87,303,50.8,1245,73.9,7.3,91.7,64,14,43.9,54.5,15.2,25.9,4.4,,,,,,,,,,,-3,-2.4,-0.6,1,-2,31.7,2,,27.9,Denard Span,1.2
Maybin,Cameron,2016,0.271,0.359,0.314,0.343,0.084,0.39,0.339,0.391,0.336,0.044,0.059,0.037,86.8,3.9,27.2,8,2.8,3.2,25.4,15.2,48.8,4.6,32.2,59.7,11.7,22.5,45.4,54.6,74,163,47.9,724,75.5,9.7,88.3,55,20.4,41.9,58.3,13.8,22.3,5.7,,,,,,,,,,,-3,-0.6,-0.7,0.5,-0.8,33.3,22,,28.8,Cameron Maybin,1.2
Adams,Matt,2016,0.245,0.474,0.332,0.305,0.227,0.41,0.411,0.338,0.332,0.004,-0.003,-0.002,89.4,19.1,39.7,25,11.4,4.6,21,35.2,24.7,3.2,40.6,68.7,17.5,38.2,38.6,61.4,115,298,58.4,781,81.2,6.4,82.5,67,26.8,50.9,32.9,32.4,26.5,8.2,,,,,,,,,,,,,,,,,0,,25.5,Matt Adams,1.2
Hamilton,Billy,2016,0.249,0.291,0.275,0.31,0.037,0.333,0.307,0.335,0.321,0.011,0.052,0.019,80,7,30.3,1,0.3,0.6,27,24.5,36.7,10.9,11.2,63.5,14.4,23.5,33,67,67,203,48.7,864,75,8.1,85.6,83,19.2,44,53,14.5,25.5,7,,,,,,,,,,,21,1.1,1.8,-0.6,2.2,35.9,111,,30.2,Billy Hamilton,1.2
Chisenhall,Lonnie,2016,0.264,0.382,0.303,0.308,0.116,0.371,0.34,0.345,0.32,0.022,0.057,0.024,85.9,17.6,34.2,9,2.8,4.7,26.4,32.6,29.8,3.7,24.5,74.2,9.5,41.1,30.1,69.9,104,346,53,842,80.4,6.7,90.5,53,17.4,56.7,37,24.2,27.6,11.2,,,,,,,,,,,-5,1.1,-0.2,-0.7,0.1,32.4,1,,26.9,Lonnie Chisenhall,1.3
Cabrera,Asdrubal,2016,0.257,0.426,0.323,0.316,0.167,0.395,0.365,0.348,0.32,0.023,0.048,0.022,88.2,14.5,36.9,24,5.7,7.4,25.7,28.8,30,2.4,33.1,71.5,15.5,32.3,37.4,62.6,136,364,54.1,1126,76.2,6.2,84.5,106,23.1,50.3,40,24.8,27.9,7.4,,,,,,,,,,,,,,,,,2,,25.5,Asdrubal Cabrera,1.4
Rojas,Miguel,2016,0.239,0.29,0.253,0.281,0.047,0.282,0.268,0.284,0.275,0.008,0.035,0.012,81.1,3.5,27.4,1,0.6,0.6,22.9,21.7,43.4,10.9,20.6,63.2,12.4,34.8,24.3,75.7,34,140,49.5,402,82.4,6.3,87.6,32,16.5,49.1,57.1,14.9,22.9,5.1,,,,,,,,,,,,,,,,,0,,27,Miguel Rojas,1.4
Marte,Starling,2016,0.288,0.439,0.338,0.341,0.147,0.414,0.396,0.395,0.366,0.023,0.017,0.013,86.6,8.4,36,21,5.4,7,24.4,19.4,36,7.8,36.8,72.5,16.2,37.2,41.8,58.2,166,397,53.5,1066,80.6,6.5,83.8,109,25.7,53.5,48.7,17.6,28.8,4.9,,,,,,,,,,,0,-0.7,0.3,0.6,0.3,33.6,48,,28.9,Starling Marte,1.4
d'Arnaud,Travis,2016,0.237,0.338,0.283,0.298,0.099,0.305,0.31,0.307,0.295,0.01,-0.015,-0.004,88.6,8.4,24.5,7,3.4,2.5,26,24,42.2,2,40.2,64.6,13.7,24.3,24.2,75.8,29,120,46.6,493,81.2,9.5,86.3,50,16.3,45.8,52.5,17.6,21.1,8.8,34,2.06,2.06,2.07,5,1.61,1.63,1.54,0.8,82.9,,,,,,,0,,27.1,Travis d'Arnaud,1.4
Perez,Salvador,2016,0.238,0.399,0.293,0.28,0.158,0.373,0.353,0.32,0.309,0.009,0.039,0.015,88.8,19.1,29.7,25,6.3,6,23.7,34.3,27.2,2.5,37.5,69.2,13.7,42.5,37.1,62.9,159,429,53.8,1009,71.4,6.7,86.3,82,23.4,54.8,35.8,28.2,21.2,14.9,48,1.94,1.94,1.93,2,1.51,1.51,1.52,0.67,83.9,,,,,,,0,,25.9,Salvador Perez,1.4
Marisnick,Jake,2016,0.222,0.326,0.266,0.272,0.102,0.32,0.334,0.293,0.315,-0.013,0.005,-0.009,84.1,9.2,31.6,9,4.3,4.3,22,24.9,33,11.5,34.4,72.5,19.8,31.1,42.1,57.9,72,171,48.7,550,87.6,7.9,80.2,83,26.2,52.3,47.8,20.1,22.5,9.6,,,,,,,,,,,13,0.2,1.9,-0.1,2,35.6,17,,29.1,Jake Marisnick,1.4
